name	mis	
70X_6/report.txt	     0.69                
70X_7/report.txt	     1.26                
70X_8/report.txt	     2.76                
70X_9/report.txt	     2.49                
72X_10/report.txt	     3.51                 
72X_1/report.txt	     3.30                
72X_2/report.txt	     2.44                
72X_3/report.txt	     0.61                
72X_4/report.txt	     1.49                
72X_5/report.txt	     3.88                
72X_6/report.txt	     2.90                
72X_7/report.txt	     2.33                
72X_8/report.txt	     3.20                
72X_9/report.txt	     1.20                
74X_10/report.txt	     1.89                 
74X_1/report.txt	     1.42                
74X_2/report.txt	     1.11                
74X_3/report.txt	     2.70                
74X_4/report.txt	     1.47                
74X_5/report.txt	     0.78                
74X_6/report.txt	     2.36                
74X_7/report.txt	     2.60                
74X_8/report.txt	     1.99                
74X_9/report.txt	     1.84                
76X_10/report.txt	     3.53                 
76X_1/report.txt	     1.79                
76X_2/report.txt	     2.56                
76X_3/report.txt	     1.99                
76X_4/report.txt	     3.20                
76X_5/report.txt	     0.17                
76X_6/report.txt	     3.95                
76X_7/report.txt	     1.67                
76X_8/report.txt	     1.03                
76X_9/report.txt	     2.47                
78X_10/report.txt	     0.71                 
78X_1/report.txt	     0.12                
78X_2/report.txt	     0.96                
78X_3/report.txt	     0.78                
78X_4/report.txt	     0.88                
78X_5/report.txt	     1.64                
78X_6/report.txt	     0.02                
78X_7/report.txt	     2.04                
78X_8/report.txt	     1.59                
78X_9/report.txt	     0.42                
80X_10/report.txt	     0.32                 
80X_1/report.txt	     1.38                
80X_2/report.txt	     1.08                
80X_3/report.txt	     0.20                
80X_4/report.txt	     0.59                
80X_5/report.txt	     0.54                
80X_6/report.txt	     0.91                
80X_7/report.txt	     0.29                
80X_8/report.txt	     0.25                
80X_9/report.txt	     1.77                
90X_10/report.txt	     0.02                 
90X_1/report.txt	     0.42                
90X_2/report.txt	     0.91                
90X_3/report.txt	     0.24                
90X_4/report.txt	     0.51                
90X_5/report.txt	     0.32                
90X_6/report.txt	     0.02                
90X_7/report.txt	     0.02                
90X_8/report.txt	     0.91                
90X_9/report.txt	     0.64                
