Name	mis
62X_1_paramSensi/report.txt	     0.15                           
62X_2_paramSensi/report.txt	     0.07                           
62X_3_paramSensi/report.txt	     0.02                           
62X_4_paramSensi/report.txt	     0.39                           
62X_5_paramSensi/report.txt	     0.22                           
62X_6_paramSensi/report.txt	     0.78                           
62X_7_paramSensi/report.txt	     0.07                           
62X_8_paramSensi/report.txt	     0.24                           
62X_9_paramSensi/report.txt	     0.02                           
64X_10_paramSensi/report.txt	     0.15                            
64X_1_paramSensi/report.txt	     0.02                           
64X_2_paramSensi/report.txt	     0.02                           
64X_3_paramSensi/report.txt	     0.02                           
64X_4_paramSensi/report.txt	     0.02                           
64X_5_paramSensi/report.txt	     0.02                           
64X_6_paramSensi/report.txt	     0.12                           
64X_7_paramSensi/report.txt	     0.07                           
64X_8_paramSensi/report.txt	     0.02                           
64X_9_paramSensi/report.txt	     0.15                           
66X_10_paramSensi/report.txt	     0.02                            
66X_1_paramSensi/report.txt	     0.24                           
66X_2_paramSensi/report.txt	     0.78                           
66X_3_paramSensi/report.txt	     0.44                           
66X_4_paramSensi/report.txt	     1.27                           
66X_5_paramSensi/report.txt	     0.71                           
66X_6_paramSensi/report.txt	     0.71                           
66X_7_paramSensi/report.txt	     0.02                           
66X_8_paramSensi/report.txt	     0.05                           
66X_9_paramSensi/report.txt	     0.02                           
68X_10_paramSensi/report.txt	     0.51                            
68X_1_paramSensi/report.txt	     0.37                           
68X_2_paramSensi/report.txt	     0.17                           
68X_3_paramSensi/report.txt	     0.02                           
68X_4_paramSensi/report.txt	     0.27                           
68X_5_paramSensi/report.txt	     0.32                           
68X_6_paramSensi/report.txt	     0.56                           
68X_7_paramSensi/report.txt	     0.49                           
68X_8_paramSensi/report.txt	     0.56                           
68X_9_paramSensi/report.txt	     0.02                           
70X_10_paramSensi/report.txt	     0.02                            
70X_1_paramSensi/report.txt	     0.17                           
70X_2_paramSensi/report.txt	     0.02                           
70X_3_paramSensi/report.txt	     0.69                           
70X_4_paramSensi/report.txt	     0.91                           
70X_5_paramSensi/report.txt	     0.22                           
70X_6_paramSensi/report.txt	     0.02                           
70X_7_paramSensi/report.txt	     0.42                           
70X_8_paramSensi/report.txt	     0.37                           
70X_9_paramSensi/report.txt	     0.17                           
72X_10_paramSensi/report.txt	     0.42                            
72X_1_paramSensi/report.txt	     0.02                           
72X_2_paramSensi/report.txt	     0.02                           
72X_3_paramSensi/report.txt	     0.02                           
72X_4_paramSensi/report.txt	     0.59                           
72X_5_paramSensi/report.txt	     0.02                           
72X_6_paramSensi/report.txt	     0.05                           
72X_7_paramSensi/report.txt	     0.07                           
72X_8_paramSensi/report.txt	     1.20                           
72X_9_paramSensi/report.txt	     0.42                           
